Area,Hit
Exit Agents Plane,1
GatesDep Plane,1
Bathroom (1) Plane,1
null,1
null,1
Bathroom (0) Plane,1
Entry Agents Plane,1
CheckIn Plane,1
Bathroom (0) Plane,1
Entry Agents Plane,1
Exit Agents Plane,1
Bathroom (1) Plane,1
CheckIn Plane,1
null,1
CheckIn Plane,1
CheckIn Plane,1
Bathroom (0) Plane,1
null,1
Food Plane,1
Food Plane,1
CheckIn Plane,1
CheckIn Plane,1
Food Plane,1
Car Rental Plane,1
Food Plane,1
Exit Agents Plane,1
BaggageClaim Plane,1
Exit Agents Plane,1
BaggageClaim Plane,1
null,1
BaggageClaim Plane,1
Food Plane,1
GatesArr Plane,1
GatesArr Plane,1
GatesArr Plane (1),1
GatesArr Plane,1
GatesArr Plane (1),1
